fixture_id,segment_count,segment_ms,classify_ms_total,extract_ms_total,extract_entities_ms_total,normalize_ms_total,store_apply_ms,total_pipeline_ms
persona-03-case-01,1,5198,952,5560,3722,0,0,15433
persona-01-case-01,2,1733,1938,10830,5307,0,0,19811
persona-04-case-02,3,2187,3009,18481,9372,0,0,33054
persona-05-case-02,4,3267,4185,23543,14776,0,0,45777
persona-05-case-03,5,3441,5457,31386,18738,0,0,59029
# summary
# samples              = 5
# mean_total_pipeline_ms = 34620
# p50_total_pipeline_ms  = 33054
# p95_total_pipeline_ms  = 59029
# max_total_pipeline_ms  = 59029
